Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034 
2134 090 036 090 077 030 
3124 100 045 020 090 070 
4532 011 017 081 032 077 
5678 020 012 045 078 034 
6134 034 080 055 078 045 
7874 060 100 056 078 078 
8026 070 010 066 078 056 
9893 034 009 077 078 020 
1947 045 040 088 078 055 
2877 055 050 099 078 080 
3189 022 070 100 078 077 
4602 089 050 091 078 060 
5405 011 011 000 078 010 
6999 000 098 089 078 020
1235 052 007 100 078 034 
2135 090 036 090 077 030 
3125 100 045 020 090 070 
4533 011 017 081 032 077 
5679 020 012 045 078 034 
6135 034 080 055 078 045 
7875 060 100 056 078 078 
8027 070 010 066 078 056 
9894 034 009 077 078 020 
1948 045 040 088 078 055 
2878 055 050 099 078 080 
3188 022 070 100 078 077 
4603 089 050 091 078 060 
5406 011 011 000 078 010
6998 000 098 089 078 020
2234 052 007 100 078 034 
3134 090 036 090 077 030 
4124 100 045 020 090 070 
5532 011 017 081 032 077 
6678 020 012 045 078 034 
7134 034 080 055 078 045 
8874 060 100 056 078 078 
9026 070 010 066 078 056 
8893 034 009 077 078 020 
2947 045 040 088 078 055 
3877 055 050 099 078 080 
4189 022 070 100 078 077 
5602 089 050 091 078 060 
6405 011 011 000 078 010 
7999 000 098 089 078 020
2235 052 007 100 078 034 
3135 090 036 090 077 030 
4115 100 045 020 090 070 
5533 011 017 081 032 077 
6679 020 012 045 078 034 
7135 034 080 055 078 045 
8875 060 100 056 078 078 
9027 070 010 066 078 056 
9894 034 009 077 078 020 
1948 045 040 088 078 055 
2678 055 050 099 078 080 
3128 022 070 100 078 077 
4633 089 050 091 078 060 
5416 011 011 000 078 010
6938 000 098 089 078 020
